"Mol","pLD50"
"C(C1(C([H])([H])[H])C(C(=C(Cl)C(F)(F)F)[H])([H])C1(C(=O)OC(C#N)(C1=C([H])C([H])=C([H])C(OC2=C([H])C([H])=C([H])C([H])=C2[H])=C1[H])[H])[H])([H])([H])[H]",6.05684737072144
"C(C1(C([H])([H])[H])C(C(=C(Br)Br)[H])([H])C1(C(=O)OC(C#N)(C1=C([H])C([H])=C([H])C(OC2=C([H])C([H])=C([H])C([H])=C2[H])=C1[H])[H])[H])([H])([H])[H]",7.16688424134567
"C(C(OP(=S)(OC(C([H])([H])[H])([H])[H])OC1=C([H])C(C([H])([H])[H])=NC(C(C([H])([H])[H])(C([H])([H])[H])[H])=N1)([H])[H])([H])([H])[H]",6.06251263307933
"C(N(C(=O)C(SP(=S)(OC([H])([H])[H])OC([H])([H])[H])([H])[H])[H])([H])([H])[H]",6.31881731463529
"C(C(C([H])([H])[H])(C(C(=O)OC(C#N)(C1=C([H])C([H])=C([H])C(OC2=C([H])C([H])=C([H])C([H])=C2[H])=C1[H])[H])(C1=C([H])C([H])=C(Cl)C([H])=C1[H])[H])[H])([H])([H])[H]",7.38681907905839
"C(OP(=S)(OC([H])([H])[H])OC1=C([H])C([H])=C([N+]([O-])=O)C(C([H])([H])[H])=C1[H])([H])([H])[H]",6.14039264066715
"C(C(OC(=O)C(C(SP(=S)(OC([H])([H])[H])OC([H])([H])[H])(C(=O)OC(C([H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])([H])[H]",5.92777527912285
"C(N(C(=O)OC1=C([H])C(C([H])([H])[H])=C(SC([H])([H])[H])C(C([H])([H])[H])=C1[H])[H])([H])([H])[H]",5.77831017254268
"C(OP(=S)(OC([H])([H])[H])OC1=C([H])C([H])=C([N+]([O-])=O)C([H])=C1[H])([H])([H])[H]",6.10749985290823
"C(C(C([H])([H])[H])=C(C1(C(C(=O)OC(C2=C([H])C([H])=C([H])C(OC3=C([H])C([H])=C([H])C([H])=C3[H])=C2[H])([H])[H])([H])C1(C([H])([H])[H])C([H])([H])[H])[H])[H])([H])([H])[H]",6.718226698651
"C(OP(=S)(OC([H])([H])[H])SC(N1C(=O)C2=C(C(=C(C([H])=C2C1=O)[H])[H])[H])([H])[H])([H])([H])[H]",5.60618212032753
"C(C(C1=C([H])C(C([H])([H])[H])=C([H])C(C(C([H])([H])[H])([H])[H])=C1C1=C(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N2C(C(OC(C([H])([H])N2C1=O)([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H]",6.68563086414552
"C(C(N(C(C([H])([H])[H])([H])[H])C1N=C(C([H])([H])[H])C([H])=C(OP(=S)(OC([H])([H])[H])OC([H])([H])[H])N=1)([H])[H])([H])([H])[H]",5.91040567188071
"C(C(C([H])([H])[H])=C(C1(C(C(=O)OC2(C([H])([H])C(=O)C(C(C#C[H])([H])[H])=C2C([H])([H])[H])[H])([H])C1(C([H])([H])[H])C([H])([H])[H])[H])[H])([H])([H])[H]",7.03021293550626
"C(N(C(=O)OC1=C([H])C([H])=C([H])C([H])=C1OC(C([H])([H])[H])(C([H])([H])[H])[H])[H])([H])([H])[H]",5.19003105060146
