"mol","pLD50"
"[O-][N+](=O)N(C1=NC([H])([H])C([H])([H])N1C(C1=C([H])C([H])=C(Cl)N=C1[H])([H])[H])[H]",7.83842752399474
"C(N1C([H])([H])OC([H])([H])N(C(C2=C([H])N=C(Cl)S2)([H])[H])C1=N[N+]([O-])=O)([H])([H])[H]",7.76495176930134
"C(C(C(C([H])([H])[H])(C1(OC2(C([H])([H])C3(C([H])([H])C(C(C(=C(C([H])([H])[H])C(OC4(C([H])([H])C(OC([H])([H])[H])([H])C(OC5(C([H])([H])C(OC([H])([H])[H])([H])C(O[H])([H])C(C([H])([H])[H])([H])O5)[H])([H])C(C([H])([H])[H])([H])O4)[H])(C(C([H])([H])[H])(C(=C(C(=C4C([H])([H])OC5(C(O[H])(C(C([H])([H])[H])=C(C(C(=O)O3)([H])C45O[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])([H])[H])([H])O2)[H])C([H])=C([H])C1(C([H])([H])[H])[H])[H])[H])([H])[H])([H])([H])[H]",8.14142100711866
"C(N(C(N(C(C1=C([H])N=C(Cl)S1)([H])[H])[H])=N[N+]([O-])=O)[H])([H])([H])[H]",7.49858747010587
"C(C1(C([H])([H])[H])C(C(=C(Br)Br)[H])([H])C1(C(=O)OC(C#N)(C1=C([H])C([H])=C([H])C(OC2=C([H])C([H])=C([H])C([H])=C2[H])=C1[H])[H])[H])([H])([H])[H]",7.66015213201589
"C(OC(=O)C(=C(C([H])([H])[H])OP(=O)(OC([H])([H])[H])OC([H])([H])[H])[H])([H])([H])[H]",6.91897144315782
"C(N=C(N(C(C1(C([H])([H])C([H])([H])OC1([H])[H])[H])([H])[H])[H])N([N+]([O-])=O)[H])([H])([H])[H]",6.70352048392774
"C(N(C(C1=C([H])C([H])=C(Cl)N=C1[H])([H])[H])C(C([H])([H])[H])=NC#N)([H])([H])[H]",6.07002265949701
"ClC1=C([H])C([H])=C(C(N2C([H])([H])C([H])([H])SC2=NC#N)([H])[H])C([H])=N1",6.2491529440072
"C(C(C([H])([H])[H])=C(C1(C(C(=O)OC(C2=C([H])OC(C(C3=C([H])C([H])=C([H])C([H])=C3[H])([H])[H])=C2[H])([H])[H])([H])C1(C([H])([H])[H])C([H])([H])[H])[H])[H])([H])([H])[H]",8.22812844772309
"C(OC(=O)C(C([H])([H])[H])=C(C1(C(C(=O)OC2(C([H])([H])C(=O)C(C(C(=C(C(=C([H])[H])[H])[H])[H])([H])[H])=C2C([H])([H])[H])[H])([H])C1(C([H])([H])[H])C([H])([H])[H])[H])[H])([H])([H])[H]",7.22834630653252
"C(C(OC1=C([H])C([H])=C(C(C([H])([H])[H])(C([H])([H])[H])C(OC(C2=C([H])C(OC3=C([H])C([H])=C([H])C([H])=C3[H])=C([H])C([H])=C2[H])([H])[H])([H])[H])C([H])=C1[H])([H])[H])([H])([H])[H]",7.19521198796044
"C(C(OP(=S)(OC(C([H])([H])[H])([H])[H])OC1=C([H])C([H])=C(N(=O)=O)C([H])=C1[H])([H])[H])([H])([H])[H]",6.86188228978851
"C(N(C(=O)C(SP(=O)(OC([H])([H])[H])OC([H])([H])[H])([H])[H])[H])([H])([H])[H]",6.62945540250924
"C(C(=O)OC(C([H])([H])[H])=C(C1(C(C(=O)OC2(C([H])([H])C(=O)C(C(C(=C(C(=C([H])[H])[H])[H])[H])([H])[H])=C2C([H])([H])[H])[H])([H])C1(C([H])([H])[H])C([H])([H])[H])[H])[H])([H])([H])[H]",6.81489413168223
"C(C(C1(C([H])([H])C([H])([H])C([H])([H])C(OC2(C([H])([H])C([H])([H])C(N(C([H])([H])[H])C([H])([H])[H])([H])C(C([H])([H])[H])([H])O2)[H])([H])C(C([H])([H])[H])([H])C(=O)C2=C(C3(C4(C(C(C([H])([H])C4([H])C(C([H])([H])[H])=C([H])C3([H])C2([H])C([H])([H])C(=O)O1)(OC1(OC(C([H])([H])[H])([H])C(OC([H])([H])[H])([H])C(OC([H])([H])[H])([H])C1(OC([H])([H])[H])[H])[H])[H])([H])[H])[H])[H])[H])[H])([H])[H])([H])([H])[H]",7.11655910031946
"C(N(C(=O)OC1=C([H])C(C([H])([H])[H])=C([H])C(C([H])([H])[H])=C1[H])[H])([H])([H])[H]",6.275358955546
"C(C(OC(=O)C(=C(C([H])([H])[H])C(=C(C(C(C([H])([H])[H])(C(C(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])[H])[H])[H])([H])[H])([H])([H])[H]",6.42524815088472
"C(OP(=O)(OC([H])([H])[H])SC(N1C(=O)OC2=C1N=C(C(Cl)=C2[H])[H])([H])[H])([H])([H])[H]",6.51050969785499
"C(C(C([H])([H])[H])=C(C1(C(C(=O)OC2(C([H])([H])C(=O)C(C(C(=C(C(=C([H])[H])[H])[H])[H])([H])[H])=C2C([H])([H])[H])[H])([H])C1(C([H])([H])[H])C([H])([H])[H])[H])[H])([H])([H])[H]",6.51614366430554
"C(OP(=S)(OC([H])([H])[H])OC1=NC(Cl)=C(Cl)C([H])=C1Cl)([H])([H])[H]",6.46497024307787
"C(C1(C([H])([H])[H])C(C(=C(C(=O)OC(C(F)(F)F)(C(F)(F)F)[H])[H])[H])([H])C1(C(=O)OC(C#N)(C1=C([H])C(OC2=C([H])C([H])=C([H])C([H])=C2[H])=C([H])C([H])=C1[H])[H])[H])([H])([H])[H]",6.65412228545613
"C(OP(=O)(OC([H])([H])[H])OC(C([H])([H])[H])=C(C(=O)N(C([H])([H])[H])C([H])([H])[H])[H])([H])([H])[H]",6.26094535486306
"C(C1(C([H])([H])[H])C(C(=C(Cl)Cl)[H])([H])C1(C(=O)OC(C1=C([H])C(OC2=C([H])C([H])=C([H])C([H])=C2[H])=C([H])C([H])=C1[H])([H])[H])[H])([H])([H])[H]",6.47720916245943
"C(N(C(=O)OC1=C2C(=C(C(=C([H])C2=C([H])C([H])=C1[H])[H])[H])[H])[H])([H])([H])[H]",6.12727541144811
"C(C(C([H])([H])[H])=C(C1(C(C(=O)OC(C2=C([H])C(OC3=C([H])C([H])=C([H])C([H])=C3[H])=C([H])C([H])=C2[H])([H])[H])([H])C1(C([H])([H])[H])C([H])([H])[H])[H])[H])([H])([H])[H]",6.3401815186959
"C(C1(C([H])([H])[H])C(C(=C(Cl)C(F)(F)F)[H])([H])C1(C(=O)OC(C#N)(C1=C([H])C(OC2=C([H])C([H])=C([H])C([H])=C2[H])=C([H])C([H])=C1[H])[H])[H])([H])([H])[H]",6.39707108744371
"C(OP(N([H])[H])(=O)SC([H])([H])[H])([H])([H])[H]",5.84819323237721
"C(OC(C([H])([H])[H])(C([H])([H])[H])C(C(C(C(C([H])([H])[H])(C(C(=C(C(C([H])([H])[H])=C(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[H])[H])[H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H]",6.19068290729031
"C1(=C(C([H])([H])[H])N=C(C(C([H])([H])[H])(C([H])([H])[H])[H])N=C1OP(=S)(OC(C([H])([H])[H])([H])[H])OC(C([H])([H])[H])([H])[H])[H]",6.16079862517599
"C1(=C(C([H])([H])[H])N=C(N(C(C([H])([H])[H])([H])[H])C(C([H])([H])[H])([H])[H])N=C1OP(=S)(OC([H])([H])[H])OC([H])([H])[H])[H]",6.14201425878622
"C(C(OP(=S)(OC(C([H])([H])[H])([H])[H])OC1=C([H])C(C([H])([H])[H])=NC(N(C(C([H])([H])[H])([H])[H])C(C([H])([H])[H])([H])[H])=N1)([H])[H])([H])([H])[H]",6.18018793418334
"C(OP(=O)(N(C(C([H])([H])[H])=O)[H])SC([H])([H])[H])([H])([H])[H]",5.90075149572411
"C(N(C(=O)ON=C(C([H])([H])[H])SC([H])([H])[H])[H])([H])([H])[H]",5.82942787367312
"C(OP(=O)(OC([H])([H])[H])OC(=C(Cl)Cl)[H])([H])([H])[H]",5.87991787419903
"C(OP(=S)(OC([H])([H])[H])SC(N1C(=O)C2=C(C(=C(C([H])=C2C1=O)[H])[H])[H])([H])[H])([H])([H])[H]",5.93285005300579
